آسوده‌ام	V$آسود+IND 1SG PERF#PP PRO1SG
آسوده‌اند	V$آسود+IND 3PL PERF
آسوده‌ای	V$آسود+IND 2SG PERF
آسوده‌ایم	V$آسود+IND 1PL PERF
آسوده‌ست	V$آسود+IND 3SG PERF
آسودی	V$آسود+SUB IRRP 3SG#IND PAST 2SG
آش	V$آمد+IMP 2SG PRO3SG
آشام	V$آشامید+IMP 2SG
آشامت	V$آشامید+IMP 2SG PRO2SG
آشامد	V$آشامید+IND PRES 3SG
آشامش	V$آشامید+IMP 2SG PRO3SG
آشامشان	V$آشامید+IMP 2SG PRO3PL
آشامم	V$آشامید+IMP 2SG PRO1SG#IND PRES 1SG
آشامند	V$آشامید+IND PRES 3PL
آشامی	V$آشامید+IND PRES 2SG
آشامید	V$آشامید+IND PRES 2PL#IND PAST 3SG#IMP 2PL
آشامیدم	V$آشامید+IND PAST 1SG#IMP 2PL PRO1SG#IND PRES 2PL PRO1SG#IND PAST 3SG PRO1SG
آشامیده	V$آشامید+PP
آشامیدی	V$آشامید+SUB IRRP 3SG#IND PAST 2SG#SUB IRR 2PL
آشامیم	V$آشامید+IND PRES 1PL
آشفت	V$آشفت+IND PAST 3SG
آشفتست	V$آشفت+IND 3SG PERF
آشفتم	V$آشفت+IND PAST 3SG PRO1SG#IND PAST 1SG
آشفتن	V$آشفت+INF
آشفتنم	V$آشفت+INF PRO1SG
آشفته	V$آشفت+PP
آشفته‌ئی	V$آشفت+IND 2SG PERF
آشفته‌ام	V$آشفت+IND 1SG PERF#PP PRO1SG
آشفته‌اند	V$آشفت+IND 3PL PERF
آشفته‌ای	V$آشفت+IND 2SG PERF
آشفته‌اید	V$آشفت+IND 2PL PERF
آشفته‌ایم	V$آشفت+IND 1PL PERF
آشفتی	V$آشفت+SUB IRRP 3SG#IND PAST 2SG
آشوب	V$آشوبید+IMP 2SG*آشوفت+IMP 2SG*آشفت+IMP 2SG
آشوبت	V$آشوبید+IMP 2SG PRO2SG*آشوفت+IMP 2SG PRO2SG*آشفت+IMP 2SG PRO2SG
آشوبد	V$آشوبید+IND PRES 3SG*آشوفت+IND PRES 3SG*آشفت+IND PRES 3SG
