آ	INT$آ+
بکمی	ADV$کم+PREP  COP2SG*کمی+PREP 
بکند	ADV$کند+PREP 
بکندست	ADV$کند+PREP  COP3SG
بکندم	ADV$کند+PREP  COP1SG
بکندند	ADV$کند+PREP  COP3PL
بکندی	ADV$کند+PREP  COP2SG
بکندیم	ADV$کند+PREP  COP1PL
بکه	PRO$که+PREP SG
بکوب	ADV$بکوب+
بکوبم	ADV$بکوب+ COP1SG
بکوبند	ADV$بکوب+ COP3PL
بکوبی	ADV$بکوب+ COP2SG
بکوبید	ADV$بکوب+ COP2PL
بکوبیم	ADV$بکوب+ COP1PL
بکی	PRO$کی+PREP SG&ADV$کی+PREP 
بکیت	PRO$کی+PREP SG PRO2SG
بکیش	PRO$کی+PREP SG PRO3SG
بکیم	PRO$کی+PREP SG COP1SG#PREP SG PRO1SG&ADV$کی+PREP  COP1SG
بگاه	ADV$گاه+PREP 
بگذراند	ADV$گذرا+PREP  COP3PL
بگرده	PRO$گرده+PREP SG
بگرم	ADV$گرم+PREP 
بگرمی	ADV$بگرمی+*گرم+PREP  COP2SG
بگسسته	ADV$گسسته+PREP 
بگسسته‌ام	ADV$گسسته+PREP  COP1SG
بگسسته‌ای	ADV$گسسته+PREP  COP2SG
بگشاد	ADV$گشاد+PREP 
بگشادست	ADV$گشاد+PREP  COP3SG
بگشادم	ADV$گشاد+PREP  COP1SG
بگشادند	ADV$گشاد+PREP  COP3PL
بگشاده	ADV$گشاده+PREP 
بگشاده‌ام	ADV$گشاده+PREP  COP1SG
بگشاده‌اند	ADV$گشاده+PREP  COP3PL
بگشاده‌ای	ADV$گشاده+PREP  COP2SG
بگشاده‌ایم	ADV$گشاده+PREP  COP1PL
بگشاده‌ست	ADV$گشاده+PREP  COP3SG
بگشادی	ADV$گشاد+PREP  COP2SG
بگشادیم	ADV$گشاد+PREP  COP1PL
بگنگ	ADV$گنگ+PREP 
بگنگست	ADV$گنگ+PREP  COP3SG
بگویی	ADV$گویی+PREP 
بگوییم	ADV$گویی+PREP  COP1SG
بیخود	ADV$بیخود+
بیخودست	ADV$بیخود+ COP3SG
بیخودم	ADV$بیخود+ COP1SG
بیخودی	ADV$بیخود+ COP2SG*بیخودی+
بیخودیست	ADV$بیخودی+ COP3SG
بیخودیم	ADV$بیخود+ COP1PL*بیخودی+ COP1SG
بیخودی‌ای	ADV$بیخودی+ COP2SG
بیرون	ADV$بیرون+
بیرونست	ADV$بیرون+ COP3SG
بیرونم	ADV$بیرون+ COP1SG
بیرونند	ADV$بیرون+ COP3PL
بیرونی	ADV$بیرون+ COP2SG
بیرونیم	ADV$بیرون+ COP1PL
بیرون‌اند	ADV$بیرون+ COP3PL
بیش	ADV$بیش+
بیشتر	ADV$بیشتر+
بیشترست	ADV$بیشتر+ COP3SG
بیشترم	ADV$بیشتر+ COP1SG
بیشترند	ADV$بیشتر+ COP3PL
بیشتری	ADV$بیشتر+ COP2SG
بیشست	ADV$بیش+ COP3SG
بیشستم	ADV$بیش+ COP1SG
بیشم	ADV$بیش+ COP1SG
بیشند	ADV$بیش+ COP3PL
بیشی	ADV$بیش+ COP2SG
بیش‌ست	ADV$بیش+ COP3SG
بیهده	ADV$بیهده+
بیهده‌است	ADV$بیهده+ COP3SG
بیهده‌ای	ADV$بیهده+ COP2SG
بیهده‌ست	ADV$بیهده+ COP3SG
بیهده‌ی	ADV$بیهده+ COP2SG
بیهوده	ADV$بیهوده+
بیهوده‌ای	ADV$بیهوده+ COP2SG
بیهوده‌ی	ADV$بیهوده+ COP2SG
بیهوش	ADV$بیهوش+
بیهوشست	ADV$بیهوش+ COP3SG
بیهوشم	ADV$بیهوش+ COP1SG
بیهوشند	ADV$بیهوش+ COP3PL
بیهوشی	ADV$بیهوش+ COP2SG
بیهوشیم	ADV$بیهوش+ COP1PL
بیگاه	ADV$بیگاه+
بی‌آرام	ADV$بی‌آرام+
بی‌آرامی	ADV$بی‌آرام+ COP2SG
بی‌اختیار	ADV$بی‌اختیار+
بی‌اختیارم	ADV$بی‌اختیار+ COP1SG
بی‌اختیاری	ADV$بی‌اختیار+ COP2SG
بی‌ادبانه	ADV$بی‌ادبانه+
بی‌اصول	ADV$بی‌اصول+
بی‌اصولی	ADV$بی‌اصول+ COP2SG
بی‌اعتدال	ADV$بی‌اعتدال+
بی‌اعتدالی	ADV$بی‌اعتدال+ COP2SG
بی‌امان	ADV$بی‌امان+
بی‌امانست	ADV$بی‌امان+ COP3SG
بی‌امانم	ADV$بی‌امان+ COP1SG
بی‌امانی	ADV$بی‌امان+ COP2SG
بی‌امانیم	ADV$بی‌امان+ COP1PL
بی‌انتها	ADV$بی‌انتها+
بی‌انتهاست	ADV$بی‌انتها+ COP3SG
بی‌اندازه	ADV$بی‌اندازه+
بی‌اندازه‌ام	ADV$بی‌اندازه+ COP1SG
بی‌باک	ADV$بی‌باک+
بی‌باکست	ADV$بی‌باک+ COP3SG
بی‌باکی	ADV$بی‌باک+ COP2SG
بی‌تأمل	ADV$بی‌تأمل+
بی‌تابانه	ADV$بی‌تابانه+
بی‌تامل	ADV$بی‌تامل+
بی‌ترتیب	ADV$بی‌ترتیب+
بی‌تفاوت	ADV$بی‌تفاوت+
بی‌تفاوتی	ADV$بی‌تفاوت+ COP2SG
بی‌تکلف	ADV$بی‌تکلف+
بی‌تکلفست	ADV$بی‌تکلف+ COP3SG
بی‌تکلفی	ADV$بی‌تکلف+ COP2SG
بی‌جا	ADV$بی‌جا+
بی‌جاست	ADV$بی‌جا+ COP3SG
بی‌جام	ADV$بی‌جا+ COP1SG
بی‌جای	ADV$بی‌جا+ COP2SG
بی‌جهت	ADV$بی‌جهت+
بی‌جهتی	ADV$بی‌جهت+ COP2SG
بی‌حاصل	ADV$بی‌حاصل+
بی‌حاصلست	ADV$بی‌حاصل+ COP3SG
بی‌حاصلم	ADV$بی‌حاصل+ COP1SG
بی‌حاصلی	ADV$بی‌حاصل+ COP2SG
بی‌حاصلیم	ADV$بی‌حاصل+ COP1PL
بی‌حاصل‌اند	ADV$بی‌حاصل+ COP3PL
بی‌حد	ADV$بی‌حد+
بی‌حدست	ADV$بی‌حد+ COP3SG
بی‌حدم	ADV$بی‌حد+ COP1SG
بی‌حدی	ADV$بی‌حد+ COP2SG
بی‌حدیم	ADV$بی‌حد+ COP1PL
بی‌حرکت	ADV$بی‌حرکت+
بی‌حساب	ADV$بی‌حساب+
بی‌حسابست	ADV$بی‌حساب+ COP3SG
بی‌حسابی	ADV$بی‌حساب+ COP2SG
بی‌حوصله	ADV$بی‌حوصله+
بی‌خطر	ADV$بی‌خطر+
بی‌خطرست	ADV$بی‌خطر+ COP3SG
بی‌خطرند	ADV$بی‌خطر+ COP3PL
بی‌خطری	ADV$بی‌خطر+ COP2SG
بی‌خیال	ADV$بی‌خیال+
بی‌خیالی	ADV$بی‌خیال+ COP2SG
بی‌درد	ADV$بی‌درد+
بی‌دردسر	ADV$بی‌دردسر+
بی‌دردم	ADV$بی‌درد+ COP1SG
بی‌دردی	ADV$بی‌درد+ COP2SG
بی‌دردیم	ADV$بی‌درد+ COP1PL
بی‌درنگ	ADV$بی‌درنگ+
بی‌درنگست	ADV$بی‌درنگ+ COP3SG
بی‌درنگم	ADV$بی‌درنگ+ COP1SG
بی‌درنگی	ADV$بی‌درنگ+ COP2SG
بی‌دریغ	ADV$بی‌دریغ+
بی‌دریغم	ADV$بی‌دریغ+ COP1SG
بی‌دریغی	ADV$بی‌دریغ+ COP2SG
بی‌دلیل	ADV$بی‌دلیل+
بی‌دلیلی	ADV$بی‌دلیل+ COP2SG
بی‌ربط	ADV$بی‌ربط+
بی‌رحمانه	ADV$بی‌رحمانه+
بی‌رونق	ADV$بی‌رونق+
بی‌رونقی	ADV$بی‌رونق+ COP2SG
بی‌ریا	ADV$بی‌ریا+
بی‌ریاست	ADV$بی‌ریا+ COP3SG
بی‌ریب	ADV$بی‌ریب+
بی‌زحمت	ADV$بی‌زحمت+
بی‌زوال	ADV$بی‌زوال+
بی‌زوالی	ADV$بی‌زوال+ COP2SG
بی‌سخن	ADV$بی‌سخن+
بی‌سخنی	ADV$بی‌سخن+ COP2SG
بی‌سرانجام	ADV$بی‌سرانجام+
بی‌سرانجامی	ADV$بی‌سرانجام+ COP2SG
بی‌شائبه	ADV$بی‌شائبه+
بی‌شایبه‌ی	ADV$بی‌شایبه+ COP2SG
بی‌شک	ADV$بی‌شک+
بی‌شکست	ADV$بی‌شک+ COP3SG
بی‌شکم	ADV$بی‌شک+ COP1SG
بی‌شکی	ADV$بی‌شک+ COP2SG
بی‌صدا	ADV$بی‌صدا+
بی‌صداست	ADV$بی‌صدا+ COP3SG
بی‌غرض	ADV$بی‌غرض+
بی‌غرضی	ADV$بی‌غرض+ COP2SG
بی‌فایده	ADV$بی‌فایده+
بی‌فایده‌ست	ADV$بی‌فایده+ COP3SG
بی‌فکر	ADV$بی‌فکر+
بی‌قاعده	ADV$بی‌قاعده+
بی‌قرار	ADV$بی‌قرار+
بی‌قرارست	ADV$بی‌قرار+ COP3SG
بی‌قرارستی	ADV$بی‌قرار+ COP2SG
بی‌قرارم	ADV$بی‌قرار+ COP1SG
بی‌قرارند	ADV$بی‌قرار+ COP3PL
بی‌قراری	ADV$بی‌قرار+ COP2SG
بی‌قرارید	ADV$بی‌قرار+ COP2PL
بی‌قراریم	ADV$بی‌قرار+ COP1PL
بی‌قصد	ADV$بی‌قصد+
بی‌قیاس	ADV$بی‌قیاس+
بی‌قیاسی	ADV$بی‌قیاس+ COP2SG
بی‌مثال	ADV$بی‌مثال+
بی‌مثالی	ADV$بی‌مثال+ COP2SG
بی‌مثل	ADV$بی‌مثل+
بی‌مثلی	ADV$بی‌مثل+ COP2SG
بی‌محابا	ADV$بی‌محابا+
بی‌مروت	ADV$بی‌مروت+
بی‌مروتی	ADV$بی‌مروت+ COP2SG
بی‌مزد	ADV$بی‌مزد+
بی‌مضایقه	ADV$بی‌مضایقه+
بی‌مناسبت	ADV$بی‌مناسبت+
بی‌موقع	ADV$بی‌موقع+
بی‌نام	ADV$بی‌نام+
بی‌نتیجه	ADV$بی‌نتیجه+
بی‌نشان	ADV$بی‌نشان+
بی‌نشانست	ADV$بی‌نشان+ COP3SG
بی‌نشانستی	ADV$بی‌نشان+ COP2SG
بی‌نشانم	ADV$بی‌نشان+ COP1SG
بی‌نشانی	ADV$بی‌نشان+ COP2SG
بی‌نشانیم	ADV$بی‌نشان+ COP1PL
بی‌نظم	ADV$بی‌نظم+
بی‌نظیر	ADV$بی‌نظیر+
بی‌نظیرست	ADV$بی‌نظیر+ COP3SG
بی‌نظیرم	ADV$بی‌نظیر+ COP1SG
بی‌نظیری	ADV$بی‌نظیر+ COP2SG
بی‌نظیریم	ADV$بی‌نظیر+ COP1PL
بی‌نهایت	ADV$بی‌نهایت+
بی‌نهایتی	ADV$بی‌نهایت+ COP2SG
بی‌هراس	ADV$بی‌هراس+
بی‌هنگام	ADV$بی‌هنگام+
بی‌هنگامم	ADV$بی‌هنگام+ COP1SG
بی‌هنگامی	ADV$بی‌هنگام+ COP2SG
بی‌واسطه	ADV$بی‌واسطه+
بی‌واسطه‌ی	ADV$بی‌واسطه+ COP2SG
بی‌وقت	ADV$بی‌وقت+
بی‌وقتی	ADV$بی‌وقت+ COP2SG
بی‌پایان	ADV$بی‌پایان+
بی‌پایانست	ADV$بی‌پایان+ COP3SG
بی‌پایانی	ADV$بی‌پایان+ COP2SG
بی‌پایانیم	ADV$بی‌پایان+ COP1PL
بی‌پرده	ADV$بی‌پرده+
بی‌پرده‌ی	ADV$بی‌پرده+ COP2SG
بی‌پروا	ADV$بی‌پروا+
بی‌پرواست	ADV$بی‌پروا+ COP3SG
بی‌پروای	ADV$بی‌پروا+ COP2SG
بی‌گفتگو	ADV$بی‌گفتگو+
بی‌گفتگوی	ADV$بی‌گفتگو+ COP2SG
بی‌گمان	ADV$بی‌گمان+
بی‌گمانم	ADV$بی‌گمان+ COP1SG
بی‌گمانی	ADV$بی‌گمان+ COP2SG
ت	CONJ$+ PRO2SG&P$+ PRO2SG
تازه	ADV$تازه+
تازه‌است	ADV$تازه+ COP3SG
تازه‌ام	ADV$تازه+ COP1SG
تازه‌ای	ADV$تازه+ COP2SG
تازه‌ایم	ADV$تازه+ COP1PL
تازه‌ست	ADV$تازه+ COP3SG
تازه‌ی	ADV$تازه+ COP2SG
تاسع	NUM$تاسع+SG
تان	CONJ$+ PRO2PL&P$+ PRO2PL
تبارک	ADV$تبارک+
تبسم‌کنان	ADV$تبسم‌کنان+
تخ	INT$تخ+
تخت	INT$تخ+ PRO2SG
تخش	INT$تخ+ PRO3SG
تخم	INT$تخ+ PRO1SG
تر	INT$تر+
ترت	INT$تر+ PRO2SG
ترش	INT$تر+ PRO3SG
ترشان	INT$تر+ PRO3PL
ترقی	ADV$ترقی+
ترقیست	ADV$ترقی+ COP3SG
ترقیی	ADV$ترقی+ COP2SG
ترم	INT$تر+ PRO1SG
ترنگاترنگ	INT$ترنگاترنگ+
ترکانه	ADV$ترکانه+
ترک‌جوشی	ADV$ترک‌جوش+ COP2SG
تستی	ADV$تستی+
تش	PRO$تش+SG
تشت	PRO$تش+SG PRO2SG
تشتی	PRO$تش+SG PRO2SG COP2SG#SG PRO2SG YEH
تف	INT$تف+
تفت	INT$تف+ PRO2SG&ADV$تفت+
تفتست	ADV$تفت+ COP3SG
تفته	ADV$تفته+
تفته‌ام	ADV$تفته+ COP1SG
تفته‌ای	ADV$تفته+ COP2SG
تفته‌ی	ADV$تفته+ COP2SG
تفتی	ADV$تفت+ COP2SG
تفش	INT$تف+ PRO3SG
تفو	INT$تفو+
تفوم	INT$تفو+ PRO1SG
تلق	INT$تلق+&ADV$تلق+
تلقی	ADV$تلق+ COP2SG*تلقی+
تلقیم	ADV$تلق+ COP1PL*تلقی+ COP1SG
تلپت	INT$تلپ+ PRO2SG
تماشاکنان	ADV$تماشاکنان+
تمام	ADV$تمام+
تمامست	ADV$تمام+ COP3SG
تمامم	ADV$تمام+ COP1SG
تمامند	ADV$تمام+ COP3PL
تمامی	ADV$تمامی+*تمام+ COP2SG
تمامیست	ADV$تمامی+ COP3SG
تمامیم	ADV$تمامی+ COP1SG*تمام+ COP1PL
تمیز	ADV$تمیز+
تمیزست	ADV$تمیز+ COP3SG
تمیزی	ADV$تمیز+ COP2SG
تند	ADV$تند+
تندست	ADV$تند+ COP3SG
تندم	ADV$تند+ COP1SG
تندند	ADV$تند+ COP3PL
تندی	ADV$تند+ COP2SG*تندی+
تندیم	ADV$تند+ COP1PL*تندی+ COP1SG
تندیی	ADV$تندی+ COP2SG
تنها	ADV$تنها+
تنهاست	ADV$تنها+ COP3SG
تنهاستی	ADV$تنها+ COP2SG
تنهام	ADV$تنها+ COP1SG
تنهای	ADV$تنها+ COP2SG
تنهایم	ADV$تنها+ COP1PL
تنگ	ADV$تنگ+
تنگاتنگ	ADV$تنگاتنگ+
تنگست	ADV$تنگ+ COP3SG
تنگستی	ADV$تنگ+ COP2SG
تنگم	ADV$تنگ+ COP1SG
تنگی	ADV$تنگ+ COP2SG
تنگیم	ADV$تنگ+ COP1PL
تنگ‌ست	ADV$تنگ+ COP3SG
تن‌آسان	ADV$تن‌آسان+
تن‌آسانی	ADV$تن‌آسان+ COP2SG
تن‌آسانیم	ADV$تن‌آسان+ COP1PL
تهی	ADV$تهی+
تهیست	ADV$تهی+ COP3SG
تهیم	ADV$تهی+ COP1SG
تهیند	ADV$تهی+ COP3PL
تهیی	ADV$تهی+ COP2SG
تهی‌دست	ADV$تهی‌دست+
تهی‌دستم	ADV$تهی‌دست+ COP1SG
تهی‌دستی	ADV$تهی‌دست+ COP2SG
تهی‌دستیم	ADV$تهی‌دست+ COP1PL
تهی‌ست	ADV$تهی+ COP3SG
تهی‌پا	ADV$تهی‌پا+
تو	PRO$تو+SG
توئی	PRO$تو+SG YEH
توئیم	PRO$تو+SG YEH COP1SG
توئیکه	PRO$تو+SG YEH CONJ
توان	PRO$تو+PL
توانت	PRO$تو+PL PRO2SG
توانست	PRO$تو+PL COP3SG
توانستم	PRO$تو+PL COP1SG
توانستند	PRO$تو+PL COP3PL
توانستی	PRO$تو+PL COP2SG
توانش	PRO$تو+PL PRO3SG
توانم	PRO$تو+PL PRO1SG#PL COP1SG
توانند	PRO$تو+PL COP3PL
توانی	PRO$تو+PL YEH#PL COP2SG
توانید	PRO$تو+PL COP2PL
توانیم	PRO$تو+PL COP1PL#PL YEH COP1SG
توت	PRO$تو+SG PRO2SG
توتست	PRO$تو+SG PRO2SG COP3SG
توتو	ADV$توتو+
توتوست	ADV$توتو+ COP3SG
توتی	PRO$تو+SG PRO2SG COP2SG#SG PRO2SG YEH
تورا	PRO$تو+SG POSTP
توست	PRO$تو+SG COP3SG
توستم	PRO$تو+SG COP1SG
توش	PRO$تو+SG PRO3SG
توشان	PRO$تو+SG PRO3PL
توشست	PRO$تو+SG PRO3SG COP3SG
توشم	PRO$تو+SG PRO3SG COP1SG
توشی	PRO$تو+SG PRO3SG COP2SG#SG PRO3SG YEH
توم	PRO$تو+SG PRO1SG#SG COP1SG
تومان	PRO$تو+SG PRO1PL
تومانند	PRO$تو+SG PRO1PL COP3PL
تومانی	PRO$تو+SG PRO1PL COP2SG#SG PRO1PL YEH
تومی	PRO$تو+SG PRO1SG COP2SG#SG PRO1SG YEH
توند	PRO$تو+SG COP3PL
توها	PRO$تو+PL
توهای	PRO$تو+PL EZ#PL COP2SG
توکلی	ADV$توکلی+
توکه	PRO$تو+SG CONJ
توگفتی	ADV$توگفتی+
توگویی	ADV$توگویی+
توی	PRO$تو+SG COP2SG#SG EZ
تویشان	PRO$تو+SG PRO3PL
تویم	PRO$تو+SG PRO1SG#SG COP1PL
تویی	PRO$تو+SG YEH
توییست	PRO$تو+SG YEH COP3SG
توییم	PRO$تو+SG YEH COP1SG
تپان	ADV$تپان+
تپانم	ADV$تپان+ COP1SG
تپش	INT$تپ+ PRO3SG
تپید	ADV$تپ+ COP2PL
تک	ADV$تک+
تکست	ADV$تک+ COP3SG
تکستی	ADV$تک+ COP2SG
تکی	ADV$تک+ COP2SG*تکی+
تکیست	ADV$تکی+ COP3SG
تیرست	NUM$تیرست+SG
تیز	ADV$تیز+
تیزست	ADV$تیز+ COP3SG
تیزم	ADV$تیز+ COP1SG
تیزی	ADV$تیز+ COP2SG
تیزیم	ADV$تیز+ COP1PL
تیمی	ADV$تیمی+
تی‌تی	INT$تی‌تی+
ثالث	NUM$ثالث+SG
ثالثا	ADV$ثالثا+
ثالثم	NUM$ثالث+SG PRO1SG#SG COP1SG
ثالثی	NUM$ثالث+SG COP2SG#SG YEH
ثامن	NUM$ثامن+SG
ثانیا	ADV$ثانیا+
ثلاث	NUM$ثلاث+SG
ثلاثه	NUM$ثلاثه+SG
ثلث	NUM$ثلث+SG
ثلثش	NUM$ثلث+SG PRO3SG
ثلثی	NUM$ثلث+SG COP2SG#SG YEH
ثمن	NUM$ثمن+SG
ثمنست	NUM$ثمن+SG COP3SG
ثمنش	NUM$ثمن+SG PRO3SG
ثمنی	NUM$ثمن+SG COP2SG#SG YEH
جابجا	ADV$جابجا+
جابه‌جا	ADV$جابه‌جا+
جابه‌جای	ADV$جابه‌جا+ COP2SG
جادوانه	ADV$جادوانه+
جانانه	ADV$جانانه+
جانانه‌ام	ADV$جانانه+ COP1SG
جانانه‌ای	ADV$جانانه+ COP2SG
جانانه‌ی	ADV$جانانه+ COP2SG
جاهلانه	ADV$جاهلانه+
جاهلانه‌ای	ADV$جاهلانه+ COP2SG
جاودانه	ADV$جاودانه+
جاودانه‌ای	ADV$جاودانه+ COP2SG
جاودانه‌ی	ADV$جاودانه+ COP2SG
جدا	ADV$جدا+
جداست	ADV$جدا+ COP3SG
جداستی	ADV$جدا+ COP2SG
جدام	ADV$جدا+ COP1SG
جداگانه	ADV$جداگانه+
جدای	ADV$جدا+ COP2SG
جدایم	ADV$جدا+ COP1PL
جدی	ADV$جدی+
جر	INT$جر+
جرت	INT$جر+ PRO2SG
جرش	INT$جر+ PRO3SG
جرم	INT$جر+ PRO1SG
جرنگ	INT$جرنگ+
جز	INT$جز+
جزئی	ADV$جزئی+
جزم	INT$جز+ PRO1SG
جزیی	ADV$جزیی+
جسما	ADV$جسما+
جفتی	ADV$جفتی+
جفتیم	ADV$جفتی+ COP1SG
جلد	ADV$جلد+
جلدست	ADV$جلد+ COP3SG
جلدند	ADV$جلد+ COP3PL
جلدی	ADV$جلد+ COP2SG
جلو	ADV$جلو+
جمله	PRO$جمله+SG
جمله‌اش	PRO$جمله+SG PRO3SG
جمله‌ام	PRO$جمله+SG PRO1SG#SG COP1SG
جمله‌ای	PRO$جمله+SG COP2SG
جمله‌ت	PRO$جمله+SG PRO2SG
جمله‌تان	PRO$جمله+SG PRO2PL
جمله‌ست	PRO$جمله+SG COP3SG
جمله‌شان	PRO$جمله+SG PRO3PL
جمله‌مان	PRO$جمله+SG PRO1PL
جمله‌ها	PRO$جمله+PL
جمله‌ی	PRO$جمله+SG COP2SG#SG EZ
جملگان	PRO$جمله+PL
جملگانتان	PRO$جمله+PL PRO2PL
جملگی	PRO$جملگی+SG
جمیع	PRO$جمیع+SG
جمیعت	PRO$جمیع+SG PRO2SG
جهارا	ADV$جهارا+
جهرا	ADV$جهرا+
حاضر	INT$حاضر+
حاضرش	INT$حاضر+ PRO3SG
حاضرم	INT$حاضر+ PRO1SG
حال	ADV$حال+
حالا	ADV$حالا+
حالست	ADV$حال+ COP3SG
حالم	ADV$حال+ COP1SG
حالند	ADV$حال+ COP3PL
حالی	ADV$حالی+*حال+ COP2SG
حالیا	ADV$حالیا+
حالیست	ADV$حالی+ COP3SG
حالیم	ADV$حالی+ COP1SG*حال+ COP1PL
حالی‌ست	ADV$حالی+ COP3SG
حال‌اند	ADV$حال+ COP3PL
حبذا	INT$حبذا+
حتم	ADV$حتم+
حتما	ADV$حتما+
حروفی	ADV$حروفی+
حروفیست	ADV$حروفی+ COP3SG
حروفیم	ADV$حروفی+ COP1SG
حسابی	ADV$حسابی+
حسبه‌لله	ADV$حسبه‌لله+
حفظ	ADV$حفظ+
حفظ‌ست	ADV$حفظ+ COP3SG
حقا	INT$حقا+&ADV$حقا+
حقانی	ADV$حقانی+
حقیر	PRO$حقیر+SG
حقیرست	PRO$حقیر+SG COP3SG
حقیرش	PRO$حقیر+SG PRO3SG
حقیرم	PRO$حقیر+SG PRO1SG#SG COP1SG
حقیرند	PRO$حقیر+SG COP3PL
حقیری	PRO$حقیر+SG COP2SG#SG YEH
حقیریست	PRO$حقیر+SG YEH COP3SG
حقیریم	PRO$حقیر+SG YEH COP1SG#SG COP1PL
حقیقه	ADV$حقیقه+
حلقه‌دار	ADV$حلقه‌دار+
حکما	ADV$حکما+
حکماست	ADV$حکما+ COP3SG
حکیمانه	ADV$حکیمانه+
حیرت‌زده	ADV$حیرت‌زده+
حیرت‌زده‌ی	ADV$حیرت‌زده+ COP2SG
حیف	INT$حیف+&ADV$حیف+
حیفت	INT$حیف+ PRO2SG
حیفست	ADV$حیف+ COP3SG
حیفش	INT$حیف+ PRO3SG
حیفم	INT$حیف+ PRO1SG&ADV$حیف+ COP1SG
حیفی	ADV$حیف+ COP2SG
خائف	ADV$خائف+
خائفم	ADV$خائف+ COP1SG
خاتونی	ADV$خاتونی+
خاتونیست	ADV$خاتونی+ COP3SG
خاتونیم	ADV$خاتونی+ COP1SG
خادمانه	ADV$خادمانه+
خارت	INT$خارت+
خارج	ADV$خارج+
خارجی	ADV$خارج+ COP2SG
خاصه	ADV$خاصه+
خاصه‌ای	ADV$خاصه+ COP2SG
خاصه‌ی	ADV$خاصه+ COP2SG
خالص	ADV$خالص+
خالصست	ADV$خالص+ COP3SG
خالصی	ADV$خالص+ COP2SG
خالی	ADV$خالی+
خالیست	ADV$خالی+ COP3SG
خالیستی	ADV$خالی+ COP2SG
خالیم	ADV$خالی+ COP1SG
خالیند	ADV$خالی+ COP3PL
خالیی	ADV$خالی+ COP2SG
خالییم	ADV$خالی+ COP1PL
خالی‌ست	ADV$خالی+ COP3SG
خامس	NUM$خامس+SG
خامسا	ADV$خامسا+
خامست	NUM$خامس+SG PRO2SG
خاموش	INT$خاموش+&ADV$خاموش+
خاموشانه	ADV$خاموشانه+
خاموشانه‌ای	ADV$خاموشانه+ COP2SG
خاموشت	INT$خاموش+ PRO2SG
خاموشست	ADV$خاموش+ COP3SG
خاموشش	INT$خاموش+ PRO3SG
خاموشم	INT$خاموش+ PRO1SG&ADV$خاموش+ COP1SG
خاموشند	ADV$خاموش+ COP3PL
خاموشی	ADV$خاموش+ COP2SG
خاموشیم	ADV$خاموش+ COP1PL
خایان	ADV$خایان+
خایف	ADV$خایف+
خایفست	ADV$خایف+ COP3SG
خایفم	ADV$خایف+ COP1SG
خایفی	ADV$خایف+ COP2SG
خبر	INT$خبر+
خبرت	INT$خبر+ PRO2SG
خبردار	INT$خبردار+&ADV$خبردار+
خبردارش	INT$خبردار+ PRO3SG
خبردارم	INT$خبردار+ PRO1SG&ADV$خبردار+ COP1SG
خبرداری	ADV$خبردار+ COP2SG
خبرش	INT$خبر+ PRO3SG
خبرشان	INT$خبر+ PRO3PL
خبرم	INT$خبر+ PRO1SG
خبرمان	INT$خبر+ PRO1PL
خداوندی	INT$خداوندی+
خداوندیت	INT$خداوندی+ PRO2SG
خداوندیش	INT$خداوندی+ PRO3SG
خداوندیم	INT$خداوندی+ PRO1SG
خدایا	INT$خدایا+
خدایانه	ADV$خدایانه+
خدایی	ADV$خدایی+
خداییست	ADV$خدایی+ COP3SG
خداییم	ADV$خدایی+ COP1SG
خدایی‌ست	ADV$خدایی+ COP3SG
خر	INT$خر+
خراخر	INT$خراخر+
خرامان	ADV$خرامان+
خرامانم	ADV$خرامان+ COP1SG
خرامانی	ADV$خرامان+ COP2SG
خرت	INT$خر+ PRO2SG
خرخر	INT$خرخر+
خردمندانه	ADV$خردمندانه+
خرش	INT$خر+ PRO3SG
خرفروشانه	ADV$خرفروشانه+
خرم	INT$خر+ PRO1SG
خرمان	INT$خر+ PRO1PL
خروار	ADV$خروار+
خروارست	ADV$خروار+ COP3SG
خروارم	ADV$خروار+ COP1SG
خروارند	ADV$خروار+ COP3PL
خرواری	ADV$خروار+ COP2SG
خرکی	ADV$خرکی+
خزیده	ADV$خزیده+
خزیده‌اند	ADV$خزیده+ COP3PL
خزیده‌ایم	ADV$خزیده+ COP1PL
خزیده‌ستی	ADV$خزیده+ COP2SG
خسروانه	ADV$خسروانه+
خصمانه	ADV$خصمانه+
خصوص	ADV$خصوص+
خلاصه	ADV$خلاصه+
خلاصه‌ست	ADV$خلاصه+ COP3SG
خلاصه‌ی	ADV$خلاصه+ COP2SG
خلف	ADV$خلف+
خلفی	ADV$خلف+ COP2SG
خلقا	ADV$خلقا+
خلوتی	ADV$خلوتی+
خلوتیست	ADV$خلوتی+ COP3SG
خمسین	NUM$خمسین+SG
خموشانه	ADV$خموشانه+
خندان	ADV$خندان+
خندانست	ADV$خندان+ COP3SG
خندانم	ADV$خندان+ COP1SG
خندانی	ADV$خندان+ COP2SG
خندانید	ADV$خندان+ COP2PL
خندانیم	ADV$خندان+ COP1PL
خنک	ADV$خنک+
خنکی	ADV$خنک+ COP2SG
خه	INT$خه+
خهی	INT$خهی+
خه‌خه	INT$خه‌خه+
خوابیده	ADV$خوابیده+
خوابیده‌اند	ADV$خوابیده+ COP3PL
خوابیده‌ای	ADV$خوابیده+ COP2SG
خوابیده‌ی	ADV$خوابیده+ COP2SG
خوانا	ADV$خوانا+
خوب	INT$خوب+&ADV$خوب+
خوبت	INT$خوب+ PRO2SG
خوبتان	INT$خوب+ PRO2PL
خوبست	ADV$خوب+ COP3SG
